tags,title,idauthor,author
1934,"['D', 'C']",the role of information in repeated games with frequent actions, p05641, yuliy sannikov
1935,"['J', 'C']",estimating the technology of cognitive and noncognitive skill formation,p01703,flavio cunha
1935,"['J', 'C']",estimating the technology of cognitive and noncognitive skill formation, p02301, james heckman
1935,"['J', 'C']",estimating the technology of cognitive and noncognitive skill formation, p05104, susanne schennach
1943,"['D', 'C']",incentive problems with unidimensional hidden characteristics: a unified approach,p03508,martin hellwig
1944,"['F', 'J', 'E', 'D']",inequality and unemployment in a global economy,p01455,elhanan helpman
1944,"['F', 'J', 'E', 'D']",inequality and unemployment in a global economy, p03995, oleg itskhoki
1944,"['F', 'J', 'E', 'D']",inequality and unemployment in a global economy, p05030, stephen redding
1946,"['D', 'C']",foundations of intrinsic habit formation,p02907,kareen rozen
1947,"['D', 'C']",risk and rationality: uncovering heterogeneity in probability distortion,p00045,adrian bruhin
1947,"['D', 'C']",risk and rationality: uncovering heterogeneity in probability distortion, p02079, helga fehr-duda
1947,"['D', 'C']",risk and rationality: uncovering heterogeneity in probability distortion, p05207, thomas epper
1948,"['D', 'C']",what happens in the field stays in the field: exploring whether professionals play minimax in laboratory experiments,p01244,david reiley
1948,"['D', 'C']",what happens in the field stays in the field: exploring whether professionals play minimax in laboratory experiments, p02624, john list
1948,"['D', 'C']",what happens in the field stays in the field: exploring whether professionals play minimax in laboratory experiments, p05055, steven levitt
1949,['L'],last-in first-out oligopoly dynamics,p02250,jaap abbring
1949,['L'],last-in first-out oligopoly dynamics, p02425, jeffrey campbell
1950,"['L', 'C']",identification and estimation of a discrete game of complete information,p02029,han hong
1950,"['L', 'C']",identification and estimation of a discrete game of complete information, p04108, patrick bajari
1950,"['L', 'C']",identification and estimation of a discrete game of complete information, p05032, stephen ryan
1951,"['D', 'C']",nonparametric identification and estimation of nonadditive hedonic models,p02301,james heckman
1951,"['D', 'C']",nonparametric identification and estimation of nonadditive hedonic models, p03099, lars nesheim
1951,"['D', 'C']",nonparametric identification and estimation of nonadditive hedonic models, p04666, rosa matzkin
1953,"['D', 'C']",asymptotic equivalence of probabilistic serial and random priority mechanisms,p01799,fuhito kojima
1953,"['D', 'C']",asymptotic equivalence of probabilistic serial and random priority mechanisms, p05575, yeon-koo che
1955,"['J', 'E', 'D']",adverse selection in competitive search equilibrium,p04418,randall wright
1955,"['J', 'E', 'D']",adverse selection in competitive search equilibrium, p04578, robert shimer
1955,"['J', 'E', 'D']",adverse selection in competitive search equilibrium, p05405, veronica guerrieri
1958,['D'],generalized utilitarianism and harsanyi's impartial observer theorem,p00523,atsushi kajii
1958,['D'],generalized utilitarianism and harsanyi's impartial observer theorem, p00593, ben polak
1958,['D'],generalized utilitarianism and harsanyi's impartial observer theorem, p04913, simon grant
1958,['D'],generalized utilitarianism and harsanyi's impartial observer theorem, p05692, zvi safra
1959,['D'],preferences for one-shot resolution of uncertainty and allais-type behavior,p01180,david dillenberger
1962,"['O', 'P']",learning the wealth of nations,p00161,alexander monge-naranjo
1962,"['O', 'P']",learning the wealth of nations, p01754, francisco buera
1962,"['O', 'P']",learning the wealth of nations, p01918, giorgio primiceri
1964,"['J', 'E']",search and rest unemployment,p01688,fernando alvarez
1964,"['J', 'E']",search and rest unemployment, p04578, robert shimer
1965,['E'],the distribution of wealth and fiscal policy in economies with finitely lived agents,p00103,alberto bisin
1965,['E'],the distribution of wealth and fiscal policy in economies with finitely lived agents, p02472, jess benhabib
1965,['E'],the distribution of wealth and fiscal policy in economies with finitely lived agents, p04867, shenghao zhu
1966,"['O', 'C', 'Q']",selection and comparative advantage in technology adoption,p05162,tavneet suri
1967,['J'],the effect of expected income on individual migration decisions,p02332,james walker
1967,['J'],the effect of expected income on individual migration decisions, p02619, john kennan
1968,['L'],the diffusion of wal-mart and economies of density,p05213,thomas holmes
1969,['C'],applied nonparametric instrumental variables estimation,p02546,joel horowitz
1971,['C'],efficiency bounds for missing data models with semiparametric restrictions,p00752,bryan graham
1972,['C'],the model confidence set,p00506,asger lunde
1972,['C'],the model confidence set, p02313, james nason
1972,['C'],the model confidence set, p04206, peter hansen
1974,"['P', 'J', 'D']",the economics of labor coercion,p00170,alexander wolitzky
1974,"['P', 'J', 'D']",the economics of labor coercion, p01145, daron acemoglu
1977,"['J', 'C']",the effects of health insurance and self-insurance on retirement behavior,p01531,eric french
1977,"['J', 'C']",the effects of health insurance and self-insurance on retirement behavior, p02615, john jones
1978,"['E', 'D', 'C']",the granular origins of aggregate fluctuations,p05524,xavier gabaix
1983,"['G', 'D']",herding and contrarian behavior in financial markets,p00306,andreas park
1983,"['G', 'D']",herding and contrarian behavior in financial markets, p02026, hamid sabourian
1984,"['E', 'D']",risk sharing in private information models with asset accumulation: explaining the excess smoothness of consumption,p03925,nicola pavoni
1984,"['E', 'D']",risk sharing in private information models with asset accumulation: explaining the excess smoothness of consumption, p04030, orazio attanasio
1987,['E'],"menu costs, multiproduct firms, and aggregate fluctuations",p05437,virgiliu midrigan
1988,"['G', 'C']",efficient derivative pricing by the extended method of moments,p00901,christian gourieroux
1988,"['G', 'C']",efficient derivative pricing by the extended method of moments, p01545, eric renault
1988,"['G', 'C']",efficient derivative pricing by the extended method of moments, p04116, patrick gagliardini
1989,"['E', 'D']",persistent private information,p03969,noah williams
1993,"['L', 'F']","product differentiation, multiproduct firms, and estimating the impact of trade liberalization on productivity",p02336,jan de loecker
1994,"['L', 'F']",an anatomy of international trade: evidence from french firms,p01749,francis kramarz
1994,"['L', 'F']",an anatomy of international trade: evidence from french firms, p02685, jonathan eaton
1994,"['L', 'F']",an anatomy of international trade: evidence from french firms, p04726, samuel kortum
1996,['C'],nonparametric instrumental regression,p01545,eric renault
1996,['C'],nonparametric instrumental regression, p02416, jean-pierre florens
1996,['C'],nonparametric instrumental regression, p04817, serge darolles
1996,['C'],nonparametric instrumental regression, p05562, yanqin fan
1997,"['G', 'E']",on the size distribution of macroeconomic disasters,p04522,robert barro
1997,"['G', 'E']",on the size distribution of macroeconomic disasters, p05144, tao jin
1998,"['J', 'A', 'D']",apparent overconfidence,p02413,jean-pierre benoit
1998,"['J', 'A', 'D']",apparent overconfidence, p02822, juan dubra
2001,"['J', 'E']",dynamic female labor supply,p04041,osnat lifshitz
2001,"['J', 'E']",dynamic female labor supply, p05691, zvi eckstein
2002,"['G', 'C']",estimation of jump tails,p05254,tim bollerslev
2002,"['G', 'C']",estimation of jump tails, p05423, viktor todorov
2005,['D'],nonexclusive competition in the market for lemons,p00275,andrea attar
2005,['D'],nonexclusive competition in the market for lemons, p01767, francois salanie
2005,['D'],nonexclusive competition in the market for lemons, p05223, thomas mariotti
2006,"['L', 'E', 'F', 'G', 'D']",strategic supply function competition with private information,p05530,xavier vives
2007,"['A', 'D', 'C']",efficient repeated implementation,p02026,hamid sabourian
2007,"['A', 'D', 'C']",efficient repeated implementation, p02508, jihong lee
2009,"['D', 'C']","one person, many votes: divided majority and information aggregation",p03133,laurent bouton
2009,"['D', 'C']","one person, many votes: divided majority and information aggregation", p03661, micael castanheira
2010,"['D', 'C']",combinatorial voting,p01149,david ahn
2010,"['D', 'C']",combinatorial voting, p04746, santiago oliveros
2011,['C'],inference of signs of interaction effects in simultaneous games with incomplete information,p00533,aureo de paula
2011,['C'],inference of signs of interaction effects in simultaneous games with incomplete information, p05552, xun tang
2014,"['D', 'C']",estimation of nonparametric conditional moment models with possibly nonsmooth generalized residuals,p01292,demian pouzo
2014,"['D', 'C']",estimation of nonparametric conditional moment models with possibly nonsmooth generalized residuals, p05538, xiaohong chen
2018,"['G', 'E', 'D']","ambiguity, learning, and asset returns",p02499,jianjun miao
2018,"['G', 'E', 'D']","ambiguity, learning, and asset returns", p03896, nengjiu ju
2019,['F'],task trade between similar countries,p01599,esteban rossi-hansberg
2019,['F'],task trade between similar countries, p01851, gene grossman
2024,['C'],bayesian and frequentist inference in partially identified models,p01777,frank schorfheide
2024,['C'],bayesian and frequentist inference in partially identified models, p02158, hyungsik roger moon
2025,['C'],mixed hitting-time models,p02250,jaap abbring
2028,"['J', 'E', 'H']",bounds on elasticities with optimization frictions: a synthesis of micro and macro evidence on labor supply,p04390,raj chetty
2029,['L'],the costs of environmental regulation in a concentrated industry,p05032,stephen ryan
2031,"['G', 'C']",the realized laplace transform of volatility,p01875,george tauchen
2031,"['G', 'C']",the realized laplace transform of volatility, p05423, viktor todorov
2035,"['G', 'D']",endogenous completeness of diffusion driven equilibrium markets,p01618,eugene trubowitz
2035,"['G', 'D']",endogenous completeness of diffusion driven equilibrium markets, p02860, julien hugonnier
2035,"['G', 'D']",endogenous completeness of diffusion driven equilibrium markets, p04807, semyon malamud
2041,"['D', 'C']",nonparametric instrumental variable estimation of structural quantile effects,p04021,olivier scaillet
2041,"['D', 'C']",nonparametric instrumental variable estimation of structural quantile effects, p04116, patrick gagliardini
2043,"['D', 'C']",continuous implementation,p03428,marion oury
2043,"['D', 'C']",continuous implementation, p04022, olivier tercieux
2044,['C'],axiomatic equilibrium selection for generic two-player games,p04594,robert wilson
2044,['C'],axiomatic equilibrium selection for generic two-player games, p04951, srihari govindan
2049,"['E', 'D', 'C']",the network origins of aggregate fluctuations,p00193,alireza tahbaz-salehi
2049,"['E', 'D', 'C']",the network origins of aggregate fluctuations, p00518, asuman ozdaglar
2049,"['E', 'D', 'C']",the network origins of aggregate fluctuations, p01145, daron acemoglu
2049,"['E', 'D', 'C']",the network origins of aggregate fluctuations, p05396, vasco carvalho
2050,['C'],noisy stochastic games,p02594,john duggan
2052,['D'],mechanism design with renegotiation and costly messages,p04535,robert evans
2054,['C'],"estimation and inference with weak, semi-strong, and strong identification",p01353,donald andrews
2054,['C'],"estimation and inference with weak, semi-strong, and strong identification", p05548, xu cheng
2056,['O'],constrained efficiency in the neoclassical growth model with uninsurable idiosyncratic shocks,p02383,jay hong
2056,['O'],constrained efficiency in the neoclassical growth model with uninsurable idiosyncratic shocks, p02751, jose-victor rios-rull
2056,['O'],constrained efficiency in the neoclassical growth model with uninsurable idiosyncratic shocks, p02863, julio davila
2056,['O'],constrained efficiency in the neoclassical growth model with uninsurable idiosyncratic shocks, p04185, per krusell
2057,"['L', 'G', 'D', 'C']",capital mobility and asset pricing,p00750,bruno strulovici
2057,"['L', 'G', 'D', 'C']",capital mobility and asset pricing, p01146, darrell duffie
2059,"['R', 'D', 'C']",the productivity advantages of large cities: distinguishing agglomeration from firm selection,p01316,diego puga
2059,"['R', 'D', 'C']",the productivity advantages of large cities: distinguishing agglomeration from firm selection, p01910, gilles duranton
2059,"['R', 'D', 'C']",the productivity advantages of large cities: distinguishing agglomeration from firm selection, p03135, laurent gobillon
2059,"['R', 'D', 'C']",the productivity advantages of large cities: distinguishing agglomeration from firm selection, p04312, pierre-philippe combes
2059,"['R', 'D', 'C']",the productivity advantages of large cities: distinguishing agglomeration from firm selection, p04799, sebastien roux
2062,['C'],likelihood inference for a fractionally cointegrated vector autoregressive model,p03824,morten orregaard nielsen
2062,['C'],likelihood inference for a fractionally cointegrated vector autoregressive model, p04943, soren johansen
2063,"['E', 'D', 'C']",what's news in business cycles,p03525,martin uribe
2063,"['E', 'D', 'C']",what's news in business cycles, p05004, stephanie schmitt-grohe
2065,['G'],the lucas orchard,p02166,ian martin
2066,"['O', 'N', 'Z']",pre-colonial ethnic institutions and contemporary african development,p01460,elias papaioannou
2066,"['O', 'N', 'Z']",pre-colonial ethnic institutions and contemporary african development, p04988, stelios michalopoulos
2069,['D'],on the equivalence of bayesian and dominant strategy implementation,p00138,alex gershkov
2069,['D'],on the equivalence of bayesian and dominant strategy implementation, p00180, alexey kushnir
2069,['D'],on the equivalence of bayesian and dominant strategy implementation, p00626, benny moldovanu
2069,['D'],on the equivalence of bayesian and dominant strategy implementation, p02257, jacob goeree
2069,['D'],on the equivalence of bayesian and dominant strategy implementation, p05533, xianwen shi
2076,"['D', 'C']",matching with (branch-of-choice) contracts at the united states military academy,p05163,tayfun sonmez
2076,"['D', 'C']",matching with (branch-of-choice) contracts at the united states military academy, p05290, tobias switzer
2079,['C'],nonparametric estimation in random coefficients binary choice models,p01532,eric gautier
2079,['C'],nonparametric estimation in random coefficients binary choice models, p05634, yuichi kitamura
2080,['C'],inference based on conditional moment inequalities,p01353,donald andrews
2080,['C'],inference based on conditional moment inequalities, p05542, xiaoxia shi
2081,['C'],intersection bounds: estimation and inference,p00029,adam rosen
2081,['C'],intersection bounds: estimation and inference, p04929, sokbae lee
2081,['C'],intersection bounds: estimation and inference, p05412, victor chernozhukov
2082,['G'],sentiments,p01879,george-marios angeletos
2082,['G'],sentiments, p02450," ""jennifer lao"""
2085,"['O', 'G', 'D', 'C']","contract structure, risk-sharing, and investment choice",p01959,greg fischer
2090,"['H', 'E', 'C']",fiscal foresight and information flows,p01539,eric leeper
2090,"['H', 'E', 'C']",fiscal foresight and information flows, p04889, shu-chun susan yang
2090,"['H', 'E', 'C']",fiscal foresight and information flows, p05300, todd walker
2091,['E'],land-price dynamics and macroeconomic fluctuations,p04183,pengfei wang
2091,['E'],land-price dynamics and macroeconomic fluctuations, p05146, tao zha
2091,['E'],land-price dynamics and macroeconomic fluctuations, p05668, zheng liu
2092,"['D', 'C']",robust predictions in games with incomplete information,p01331,dirk bergemann
2092,"['D', 'C']",robust predictions in games with incomplete information, p05026, stephen morris
2093,"['D', 'G', 'E']",the 2007 subprime market crisis through the lens of european central bank auctions for short-term funds,p00188,ali hortacsu
2093,"['D', 'G', 'E']",the 2007 subprime market crisis through the lens of european central bank auctions for short-term funds, p02276, jakub kastl
2093,"['D', 'G', 'E']",the 2007 subprime market crisis through the lens of european central bank auctions for short-term funds, p03984, nuno cassola
2094,"['O', 'L', 'F']",identifying technology spillovers and product market rivalry,p02660,john van reenen
2094,"['O', 'L', 'F']",identifying technology spillovers and product market rivalry, p03470, mark schankerman
2094,"['O', 'L', 'F']",identifying technology spillovers and product market rivalry, p03902, nicholas bloom
2095,"['J', 'E', 'D']",modeling earnings dynamics,p00414,anthony smith
2095,"['J', 'E', 'D']",modeling earnings dynamics, p02243, ivan vidangos
2095,"['J', 'E', 'D']",modeling earnings dynamics, p02758, joseph altonji
2096,"['G', 'E']",optimal inattention to the stock market with information costs and transactions costs,p00325,andrew abel
2096,"['G', 'E']",optimal inattention to the stock market with information costs and transactions costs, p02352, janice eberly
2096,"['G', 'E']",optimal inattention to the stock market with information costs and transactions costs, p04957, stavros panageas
2101,"['H', 'I']",private information and insurance rejections,p03877,nathaniel hendren
2104,['H'],a theory of optimal inheritance taxation,p01501,emmanuel saez
2104,['H'],a theory of optimal inheritance taxation, p05233, thomas piketty
2106,"['L', 'H', 'E', 'C', 'J', 'D']",calibrated incentive contracts,p05116,sylvain chassang
2108,"['L', 'D', 'F']",organizing the global value chain,p01273,davin chor
2108,"['L', 'D', 'F']",organizing the global value chain, p04327, pol antras
2110,"['D', 'C']",homo moralis—preference evolution under incomplete information and assortative matching,p02204,ingela alger
2110,"['D', 'C']",homo moralis—preference evolution under incomplete information and assortative matching, p02728, jorgen weibull
2112,"['D', 'C']",revealed preference tests of the cournot model,p00318,andres carvajal
2112,"['D', 'C']",revealed preference tests of the cournot model, p02296, james fenske
2112,"['D', 'C']",revealed preference tests of the cournot model, p02636, john quah
2112,"['D', 'C']",revealed preference tests of the cournot model, p04385, rahul deb
2115,['D'],generalized reduced-form auctions: a network-flow approach,p02520,jinwoo kim
2115,['D'],generalized reduced-form auctions: a network-flow approach, p03045, konrad mierendorff
2115,['D'],generalized reduced-form auctions: a network-flow approach, p05575, yeon-koo che
2116,"['D', 'C']",every choice function is backwards-induction rationalizable,p05456,walter bossert
2116,"['D', 'C']",every choice function is backwards-induction rationalizable, p05655, yves sprumont
2118,"['H', 'E', 'Q']",optimal taxes on fossil fuel in general equilibrium,p00109,aleh tsyvinski
2118,"['H', 'E', 'Q']",optimal taxes on fossil fuel in general equilibrium, p02608, john hassler
2118,"['H', 'E', 'Q']",optimal taxes on fossil fuel in general equilibrium, p03775, mikhail golosov
2118,"['H', 'E', 'Q']",optimal taxes on fossil fuel in general equilibrium, p04185, per krusell
2119,['E'],price setting with menu cost for multiproduct firms,p01688,fernando alvarez
2119,['E'],price setting with menu cost for multiproduct firms, p01738, francesco lippi
2120,"['I', 'C']",the elite illusion: achievement effects at boston and new york exam schools,p00521,atila abdulkadiroglu
2120,"['I', 'C']",the elite illusion: achievement effects at boston and new york exam schools, p02789, joshua angrist
2120,"['I', 'C']",the elite illusion: achievement effects at boston and new york exam schools, p04094, parag pathak
2121,"['O', 'H', 'D', 'C']",short-run subsidies and long-run adoption of new health products: evidence from a field experiment,p04102,pascaline dupas
2123,"['D', 'C']",competition for a majority,p04171,paulo barelli
2123,"['D', 'C']",competition for a majority, p04594, robert wilson
2123,"['D', 'C']",competition for a majority, p04951, srihari govindan
2126,"['L', 'G', 'E']",hazardous times for monetary policy: what do twenty-three million bank loans say about the effects of monetary policy on credit risk-taking?,p01808,gabriel jimenez
2126,"['L', 'G', 'E']",hazardous times for monetary policy: what do twenty-three million bank loans say about the effects of monetary policy on credit risk-taking?, p02489, jesus saurina
2126,"['L', 'G', 'E']",hazardous times for monetary policy: what do twenty-three million bank loans say about the effects of monetary policy on credit risk-taking?, p02750, jose-luis peydro
2126,"['L', 'G', 'E']",hazardous times for monetary policy: what do twenty-three million bank loans say about the effects of monetary policy on credit risk-taking?, p05058, steven ongena
2127,"['D', 'C']",non-manipulable house allocation with rent control,p03104,lars-gunnar svensson
2127,"['D', 'C']",non-manipulable house allocation with rent control, p05321, tommy andersson
2128,"['D', 'C']",stable matching with incomplete information,p00355,andrew postlewaite
2128,"['D', 'C']",stable matching with incomplete information, p01874, george mailath
2128,"['D', 'C']",stable matching with incomplete information, p03092, larry samuelson
2128,"['D', 'C']",stable matching with incomplete information, p04346, qingmin liu
2132,['J'],returns to tenure or seniority?,p00061,aico van vuuren
2132,['J'],returns to tenure or seniority?, p01016, coen teulings
2132,['J'],returns to tenure or seniority?, p03766, miguel portela
2132,['J'],returns to tenure or seniority?, p04786, sebastian buhai
2134,"['J', 'D', 'F', 'C']",trade liberalization and labor market dynamics,p04367,rafael dix-carneiro
2135,"['O', 'D', 'C']",dynamic financial constraints: distinguishing mechanism design from exogenously incomplete regimes,p00157,alexander karaivanov
2135,"['O', 'D', 'C']",dynamic financial constraints: distinguishing mechanism design from exogenously incomplete regimes, p04588, robert townsend
2138,"['G', 'D']",decentralized trading with private information,p00109,aleh tsyvinski
2138,"['G', 'D']",decentralized trading with private information, p01988, guido lorenzoni
2138,"['G', 'D']",decentralized trading with private information, p03775, mikhail golosov
2140,"['H', 'E', 'D']",a model of the consumption response to fiscal stimulus payments,p01929,giovanni violante
2140,"['H', 'E', 'D']",a model of the consumption response to fiscal stimulus payments, p01960, greg kaplan
2142,"['M', 'G', 'D', 'C']",understanding mechanisms underlying peer effects: evidence from a field experiment on financial decisions,p00747,bruno ferman
2142,"['M', 'G', 'D', 'C']",understanding mechanisms underlying peer effects: evidence from a field experiment on financial decisions, p01707, florian ederer
2142,"['M', 'G', 'D', 'C']",understanding mechanisms underlying peer effects: evidence from a field experiment on financial decisions, p03171, leonardo bursztyn
2142,"['M', 'G', 'D', 'C']",understanding mechanisms underlying peer effects: evidence from a field experiment on financial decisions, p03971, noam yuchtman
2143,"['E', 'F']","firms, destinations, and aggregate fluctuations",p00312,andrei levchenko
2143,"['E', 'F']","firms, destinations, and aggregate fluctuations", p02222, isabelle mejean
2143,"['E', 'F']","firms, destinations, and aggregate fluctuations", p02850, julian di giovanni
2146,"['G', 'E']",endogenous liquidity and defaultable bonds,p03047,konstantin milbradt
2146,"['G', 'E']",endogenous liquidity and defaultable bonds, p05675, zhiguo he
2147,"['P', 'H', 'E', 'D']",fiscal rules and discretion under persistent shocks,p03420,marina halac
2147,"['P', 'H', 'E', 'D']",fiscal rules and discretion under persistent shocks, p04305, pierre yared
2148,"['D', 'C']",experimental games on networks: underpinnings of behavior and equilibrium selection,p01736,francesco feri
2148,"['D', 'C']",experimental games on networks: underpinnings of behavior and equilibrium selection, p01834, gary charness
2148,"['D', 'C']",experimental games on networks: underpinnings of behavior and equilibrium selection, p03605, matthias sutter
2148,"['D', 'C']",experimental games on networks: underpinnings of behavior and equilibrium selection, p03765, miguel melendez-jimenez
2149,"['O', 'N', 'J', 'R']",underinvestment in a profitable technology: the case of seasonal migration in bangladesh,p00058,ahmed mushfiq mobarak
2149,"['O', 'N', 'J', 'R']",underinvestment in a profitable technology: the case of seasonal migration in bangladesh, p01891, gharad bryan
2149,"['O', 'N', 'J', 'R']",underinvestment in a profitable technology: the case of seasonal migration in bangladesh, p04895, shyamal chowdhury
2150,"['L', 'C']",identification in differentiated products markets using market level data,p04261,philip haile
2150,"['L', 'C']",identification in differentiated products markets using market level data, p05042, steven berry
2151,"['E', 'C']",identification using stability restrictions,p03152,leandro magnusson
2151,"['E', 'C']",identification using stability restrictions, p04940, sophocles mavroeidis
2154,"['D', 'C']",consistency of higher order risk preferences,p00804,cary deck
2154,"['D', 'C']",consistency of higher order risk preferences, p02058, harris schlesinger
2155,"['D', 'C']",the intrinsic value of decision rights,p00666,bjorn bartling
2155,"['D', 'C']",the intrinsic value of decision rights, p01585, ernst fehr
2155,"['D', 'C']",the intrinsic value of decision rights, p02122, holger herz
2165,"['E', 'D']",consumption dynamics during recessions,p01160,david berger
2165,"['E', 'D']",consumption dynamics during recessions, p02784, joseph vavra
2166,"['L', 'M', 'D', 'C']",consumer heterogeneity and paid search effectiveness: a large-scale field experiment,p00886,chris nosko
2166,"['L', 'M', 'D', 'C']",consumer heterogeneity and paid search effectiveness: a large-scale field experiment, p05063, steven tadelis
2166,"['L', 'M', 'D', 'C']",consumer heterogeneity and paid search effectiveness: a large-scale field experiment, p05194, thomas blake
2170,"['D', 'G', 'E', 'C']",trade dynamics in the market for federal funds,p01824,gara afonso
2170,"['D', 'G', 'E', 'C']",trade dynamics in the market for federal funds, p04477, ricardo lagos
2172,"['O', 'H']",how is power shared in africa?,p01743,francesco trebbi
2172,"['O', 'H']",how is power shared in africa?, p02188, ilia rainer
2172,"['O', 'H']",how is power shared in africa?, p04115, patrick francois
2174,"['E', 'D']",sentiments and aggregate demand fluctuations,p02472,jess benhabib
2174,"['E', 'D']",sentiments and aggregate demand fluctuations, p04183, pengfei wang
2174,"['E', 'D']",sentiments and aggregate demand fluctuations, p05578, yi wen
2175,"['D', 'C']",time horizon and cooperation in continuous time,p00373,andrzej skrzypacz
2175,"['D', 'C']",time horizon and cooperation in continuous time, p01901, giancarlo spagnolo
2175,"['D', 'C']",time horizon and cooperation in continuous time, p03358, marco casari
2175,"['D', 'C']",time horizon and cooperation in continuous time, p03392, maria bigoni
2176,"['D', 'C']",nonparametric welfare analysis for discrete choice,p01286,debopam bhattacharya
2179,"['D', 'C']",a polynomial optimization approach to principal–agent problems,p02917,karl schmedders
2179,"['D', 'C']",a polynomial optimization approach to principal–agent problems, p04270, philipp renner
2181,"['D', 'C']",investment and competitive matching,p01858,georg noldeke
2181,"['D', 'C']",investment and competitive matching, p03092, larry samuelson
2186,"['G', 'C']",parametric inference and dynamic state recovery from option panels,p03920,nicola fusari
2186,"['G', 'C']",parametric inference and dynamic state recovery from option panels, p05332, torben andersen
2186,"['G', 'C']",parametric inference and dynamic state recovery from option panels, p05423, viktor todorov
2187,"['G', 'I', 'D']",equilibria in health exchanges: adverse selection versus reclassification risk,p00609,benjamin handel
2187,"['G', 'I', 'D']",equilibria in health exchanges: adverse selection versus reclassification risk, p02173, igal hendel
2187,"['G', 'I', 'D']",equilibria in health exchanges: adverse selection versus reclassification risk, p03733, michael whinston
2196,['C'],truthful equilibria in dynamic bayesian games,p02565,johannes horner
2196,['C'],truthful equilibria in dynamic bayesian games, p03943, nicolas vieille
2196,['C'],truthful equilibria in dynamic bayesian games, p04764, satoru takahashi
2198,"['H', 'I', 'C', 'O', 'D']",poverty and self-control,p01290,debraj ray
2198,"['H', 'I', 'C', 'O', 'D']",poverty and self-control, p01372, douglas bernheim
2198,"['H', 'I', 'C', 'O', 'D']",poverty and self-control, p04839, sevin yeltekin
2200,"['E', 'C']","sign restrictions, structural vector autoregressions, and useful prior information",p00916,christiane baumeister
2200,"['E', 'C']","sign restrictions, structural vector autoregressions, and useful prior information", p02299, james hamilton
2201,"['D', 'C']",sharing rule identification for general collective consumption models,p00490,arthur lewbel
2201,"['D', 'C']",sharing rule identification for general collective consumption models, p00690, bram de rock
2201,"['D', 'C']",sharing rule identification for general collective consumption models, p01792, frederic vermeulen
2201,"['D', 'C']",sharing rule identification for general collective consumption models, p03132, laurens cherchye
2203,"['O', 'N', 'R']",the economics of density: evidence from the berlin wall,p01117,daniel sturm
2203,"['O', 'N', 'R']",the economics of density: evidence from the berlin wall, p01805, gabriel ahlfeldt
2203,"['O', 'N', 'R']",the economics of density: evidence from the berlin wall, p03954, nikolaus wolf
2203,"['O', 'N', 'R']",the economics of density: evidence from the berlin wall, p05030, stephen redding
2204,"['D', 'G', 'E']",leverage and default in binomial economies: a complete characterization,p00248,ana fostel
2204,"['D', 'G', 'E']",leverage and default in binomial economies: a complete characterization, p02600, john geanakoplos
2205,['G'],entry and exit in otc derivatives markets,p00276,andrea eisfeldt
2205,['G'],entry and exit in otc derivatives markets, p00327, andrew atkeson
2205,['G'],entry and exit in otc derivatives markets, p04311, pierre-olivier weill
2209,"['E', 'C']",money and credit redux,p00833,chao gu
2209,"['E', 'C']",money and credit redux, p01653, fabrizio mattesini
2209,"['E', 'C']",money and credit redux, p04418, randall wright
2212,"['H', 'E']",the role of automatic stabilizers in the u.s. business cycle,p00194,alisdair mckay
2212,"['H', 'E']",the role of automatic stabilizers in the u.s. business cycle, p04480, ricardo reis
2215,['L'],usage-based pricing and demand for residential broadband,p00543,aviv nevo
2215,['L'],usage-based pricing and demand for residential broadband, p02657, john turner
2215,['L'],usage-based pricing and demand for residential broadband, p02708, jonathan williams
2216,"['L', 'D', 'F']","prices, markups, and trade reform",p00238,amit khandelwal
2216,"['L', 'D', 'F']","prices, markups, and trade reform", p02336, jan de loecker
2216,"['L', 'D', 'F']","prices, markups, and trade reform", p03963, nina pavcnik
2216,"['L', 'D', 'F']","prices, markups, and trade reform", p04320, pinelopi goldberg
2219,['J'],stochastic learning dynamics and speed of convergence in population games,p02228,itai arieli
2219,['J'],stochastic learning dynamics and speed of convergence in population games, p04256, peyton young
2221,"['F', 'G', 'E']",inefficient investment waves,p04214,peter kondor
2221,"['F', 'G', 'E']",inefficient investment waves, p05675, zhiguo he
2222,"['L', 'H', 'R']",a dynamic model of demand for houses and neighborhoods,p00218,alvin murphy
2222,"['L', 'H', 'R']",a dynamic model of demand for houses and neighborhoods, p00971, christopher timmins
2222,"['L', 'H', 'R']",a dynamic model of demand for houses and neighborhoods, p04110, patrick bayer
2222,"['L', 'H', 'R']",a dynamic model of demand for houses and neighborhoods, p04563, robert mcmillan
2224,"['G', 'C']",time-varying risk premium in large cross-sectional equity data sets,p01467,elisa ossola
2224,"['G', 'C']",time-varying risk premium in large cross-sectional equity data sets, p04021, olivier scaillet
2224,"['G', 'C']",time-varying risk premium in large cross-sectional equity data sets, p04116, patrick gagliardini
2225,"['R', 'G', 'E']",no-bubble condition: model-free tests in housing markets,p02570,johannes stroebel
2225,"['R', 'G', 'E']",no-bubble condition: model-free tests in housing markets, p03564, matteo maggiori
2225,"['R', 'G', 'E']",no-bubble condition: model-free tests in housing markets, p04981, stefano giglio
2228,['D'],utilitarian preferences with multiple priors,p01803,gabi gayer
2228,['D'],utilitarian preferences with multiple priors, p04881, shiri alon
2229,"['D', 'C']",from bottom of the barrel to cream of the crop: sequential screening with positive selection,p02392,jean tirole
